"","location","species","time"
"820","SN68","Species 3",1
"822","SN68","Species 3",1
"826","TF00","Species 3",1
"828","SU30","Species 3",2
"829","SO06","Species 3",1
"830","ST57","Species 3",2
"834","TF10","Species 10",2
"835","TF26","Species 3",2
"836","SN69","Species 3",1
"837","ST83","Species 3",1
"838","SN90","Species 3",1
"839","SE98","Species 3",1
"840","SS63","Species 3",1
"841","SU60","Species 3",2
"842","SX47","Species 3",1
"844","NY22","Species 3",2
"847","SX06","Species 3",1
"849","SU96","Species 3",2
"851","SU30","Species 3",1
"864","NU00","Species 3",1
"865","TM15","Species 10",1
"866","SX79","Species 3",2
"867","SK41","Species 3",1
"869","SN46","Species 3",1
"870","SU98","Species 3",2
"872","TL09","Species 3",1
"875","SN93","Species 3",1
"876","NH91","Species 18",2
"877","SU21","Species 3",1
"879","SH62","Species 3",2
"880","SJ07","Species 3",2
"882","SJ04","Species 3",2
"884","ST89","Species 3",2
"885","SK28","Species 3",1
"889","SN55","Species 3",1
"893","SN32","Species 3",2
"894","SN68","Species 3",1
"895","SX46","Species 3",1
"897","SN64","Species 3",2
"898","TF62","Species 3",1
"903","ST76","Species 3",1
"906","SU94","Species 3",2
"907","SX25","Species 3",1
"909","SE89","Species 3",1
"911","TQ93","Species 3",2
"912","SU20","Species 3",1
"914","TL17","Species 3",1
"916","SO41","Species 3",2
"917","SU30","Species 3",1
"919","TF00","Species 10",2
"920","SH92","Species 3",1
"921","SU92","Species 3",2
"922","SX77","Species 3",2
"923","SN34","Species 3",2
"924","SS22","Species 3",2
"925","SK59","Species 10",1
"929","SU21","Species 3",1
"933","SE58","Species 3",1
"934","SH76","Species 3",1
"936","SO09","Species 3",2
"939","SZ49","Species 3",1
"941","SH62","Species 3",2
"942","SN46","Species 3",1
"944","SO07","Species 3",2
"945","SO67","Species 3",1
"946","SS98","Species 3",2
"951","NZ03","Species 3",1
"952","SH64","Species 3",2
"956","TL30","Species 3",2
"957","SO61","Species 3",1
"959","SO30","Species 3",2
"961","ST99","Species 3",1
"964","ST03","Species 3",2
"965","SD39","Species 3",2
"966","SO61","Species 3",1
"967","SK58","Species 3",1
"968","SX15","Species 3",1
"969","SY79","Species 3",2
"970","SN40","Species 3",1
"972","SU20","Species 3",1
"974","SX99","Species 3",1
"977","SP47","Species 3",1
"979","SO09","Species 10",2
"980","SE68","Species 3",1
"981","SS48","Species 3",2
"983","TF01","Species 3",1
"984","TF10","Species 10",2
"985","SP85","Species 3",1
"991","TL27","Species 3",1
"992","SN79","Species 3",1
"993","SN72","Species 3",2
"995","ST11","Species 3",1
"996","NX58","Species 3",1
"999","ST23","Species 3",1
"1000","SP47","Species 3",1
"1001","TL18","Species 3",1
"1004","SK70","Species 3",1
"1005","SN96","Species 3",1
"1007","ST59","Species 3",1
"1009","SU44","Species 3",2
"1012","SU22","Species 3",1
"1016","SN69","Species 3",1
"1020","TQ45","Species 3",1
"1022","SN65","Species 3",2
"1023","TM13","Species 3",2
"1024","SN79","Species 3",1
"1025","SN62","Species 3",1
"1026","SN46","Species 3",2
"1028","SK18","Species 3",1
"1032","SU28","Species 3",1
"1034","SU21","Species 10",1
"1036","SX05","Species 3",1
"1038","SN96","Species 3",1
"1039","SU84","Species 3",2
"1040","SO14","Species 3",1
"1041","SN34","Species 3",1
"1043","SU57","Species 3",2
"1044","SN57","Species 3",1
"1045","NR78","Species 3",1
"1047","SN73","Species 3",2
"1048","SE68","Species 3",1
"1051","SU11","Species 3",1
"1052","SN45","Species 3",1
"1054","SS64","Species 3",1
"1055","TF62","Species 3",1
"1056","SE67","Species 3",2
"1061","SZ49","Species 3",1
"1063","SU21","Species 3",2
"1064","SU20","Species 3",1
"1065","SN46","Species 3",2
"1066","SS84","Species 3",1
"1067","TL18","Species 3",1
"1068","SP27","Species 3",1
"1072","SK51","Species 3",1
"1076","SN57","Species 3",1
"1077","TR14","Species 3",1
"1079","SS62","Species 3",1
"1085","SU57","Species 3",2
"1088","SN66","Species 3",1
"1089","SK91","Species 3",1
"1090","SN85","Species 3",2
"1092","TL12","Species 10",2
"1096","TL30","Species 3",1
"1098","SO94","Species 3",2
"1100","SS22","Species 3",2
"1102","SK51","Species 3",1
"1104","SN79","Species 3",1
"1105","SO27","Species 3",1
"1107","SU21","Species 3",1
"1108","SN57","Species 3",1
"1111","ST47","Species 3",1
"1112","SN57","Species 3",1
"1114","NH49","Species 3",1
"1115","SJ91","Species 3",1
"1117","NY10","Species 3",1
"1119","SK51","Species 3",1
"1122","SU30","Species 3",1
"1123","SJ30","Species 10",2
"1124","SN40","Species 3",1
"1125","TQ14","Species 3",2
"1128","SU21","Species 3",1
"1129","TL27","Species 3",1
"1131","SX09","Species 3",2
"1134","SN67","Species 3",2
"1135","SX55","Species 3",2
"1137","NR78","Species 3",1
"1138","SN67","Species 3",2
"1140","SO05","Species 3",1
"1141","SS64","Species 3",2
"1144","SK80","Species 3",1
"1148","SN45","Species 3",1
"1149","SN67","Species 3",2
"1151","SK15","Species 3",1
"1152","ST45","Species 3",1
"1153","SH64","Species 3",1
"1154","SH61","Species 3",2
"1155","TQ05","Species 3",2
"1156","NY42","Species 3",2
"1164","TL28","Species 3",2
"1165","SU57","Species 3",2
"1170","NT94","Species 3",1
"1174","SO94","Species 3",1
"1175","SO30","Species 3",2
"1178","SU31","Species 3",2
"1179","SN65","Species 3",1
"1180","ST07","Species 3",1
"1181","TF18","Species 3",2
"1183","SP89","Species 3",1
"1187","SN67","Species 3",2
"1188","SO77","Species 3",1
"1191","SP37","Species 3",1
"1192","ST22","Species 3",2
"1193","TL52","Species 3",1
"1196","SK67","Species 3",1
"1198","NJ13","Species 3",1
"1199","SN40","Species 3",1
"1200","SN62","Species 3",2
"1201","SH61","Species 3",2
"1203","SO50","Species 3",1
"1204","SE88","Species 3",2
"1206","SN62","Species 3",1
"1207","SH72","Species 3",2
"1210","NY70","Species 3",2
"1211","SO14","Species 3",2
"1212","TF01","Species 3",1
"1214","SN57","Species 3",2
"1215","SU57","Species 3",2
"1216","SU30","Species 3",2
"1218","SO77","Species 3",1
"1219","NH05","Species 3",1
"1220","NY31","Species 3",1
"1222","SJ20","Species 3",2
"1223","SE89","Species 3",1
"1226","SS22","Species 3",1
"1227","SU30","Species 3",1
"1228","ST59","Species 3",1
"1229","TQ53","Species 3",2
"1230","NY21","Species 3",1
"1232","SP37","Species 10",1
"1233","SU20","Species 3",1
"1234","SU11","Species 3",1
"1235","SN57","Species 3",1
"1236","SE30","Species 3",1
"1238","SO77","Species 3",1
"1239","SO09","Species 3",2
"1241","SY29","Species 3",1
"1245","TQ14","Species 3",1
"1246","ST59","Species 3",2
"1253","ST75","Species 3",2
"1254","NZ15","Species 3",2
"1257","ST55","Species 3",1
"1259","SN97","Species 3",2
"1262","SX78","Species 3",2
"1263","SO51","Species 3",1
"1269","SS74","Species 3",1
"1271","TL27","Species 10",2
"1272","TQ15","Species 3",1
"1273","SS21","Species 3",1
"1274","SO32","Species 3",2
"1275","SH92","Species 3",2
"1277","SD38","Species 3",2
"1278","SE58","Species 3",1
"1279","TQ55","Species 3",2
"1281","NZ03","Species 3",1
"1285","NY86","Species 3",1
"1286","SS21","Species 3",1
"1287","NZ03","Species 3",1
"1289","NY11","Species 3",2
"1290","SP99","Species 3",1
"1293","ST45","Species 3",1
"1294","SN24","Species 3",2
"1298","SS74","Species 3",2
"1299","SN79","Species 3",1
"1301","SX78","Species 3",2
"1302","SU21","Species 10",1
"1303","TA09","Species 3",1
"1308","SN67","Species 3",2
"1309","NC13","Species 3",1
"1313","SE48","Species 3",2
"1315","SO14","Species 3",1
"1319","NY69","Species 3",1
"1321","SN30","Species 3",1
"1322","ST21","Species 3",1
"1323","NC21","Species 3",1
"1327","SS74","Species 3",2
"1329","TQ17","Species 3",1
"1330","ST64","Species 3",2
"1332","TQ69","Species 10",1
"1333","NZ02","Species 3",1
"1335","SX78","Species 3",2
"1336","NJ01","Species 3",2
"1337","NZ03","Species 3",1
"1340","SH61","Species 3",2
"1341","SU21","Species 3",1
"1343","TQ56","Species 3",1
"1345","SS22","Species 3",1
"1349","SD71","Species 3",2
"1351","NC13","Species 3",2
"1352","ST21","Species 3",1
"1353","SO50","Species 3",2
"1354","SU11","Species 3",1
"1356","SK81","Species 3",2
"1358","SO08","Species 3",2
"1360","SN57","Species 3",1
"1364","TL09","Species 3",1
"1365","TL52","Species 3",1
"1368","SK27","Species 3",1
"1371","TR16","Species 3",2
"1373","ST47","Species 3",1
"1378","SN34","Species 3",2
"1379","SN25","Species 3",1
"1380","SO88","Species 3",1
"1381","SN34","Species 3",1
"1382","NS42","Species 3",2
"1386","TQ53","Species 3",2
"1388","SU26","Species 3",2
"1389","SU56","Species 3",1
"1394","SX78","Species 3",1
"1396","SO09","Species 3",2
"1397","ST23","Species 3",1
"1398","ST99","Species 3",1
"1399","ST57","Species 3",2
"1401","SN67","Species 3",2
"1403","SO77","Species 3",2
"1404","SN14","Species 3",1
"1407","SS51","Species 3",1
"1409","SO77","Species 3",1
"1411","SJ20","Species 3",2
"1412","SO46","Species 3",1
"1413","SN62","Species 3",2
"1415","SO90","Species 3",2
"1417","TL28","Species 3",2
"1420","SN68","Species 3",2
"1423","SN61","Species 3",2
"1426","SS74","Species 3",1
"1427","TL28","Species 3",2
"1428","SN90","Species 3",1
"1429","SP27","Species 3",1
"1430","TL17","Species 3",1
"1431","ST84","Species 3",2
"1432","SN46","Species 3",2
"1433","SO73","Species 3",2
"1434","SO14","Species 3",2
"1436","SO09","Species 3",2
"1437","SK09","Species 3",1
"1439","SO22","Species 3",2
"1440","SP03","Species 10",1
"1441","SU21","Species 3",2
"1442","ST57","Species 3",2
"1444","SN45","Species 3",1
"1447","SS64","Species 3",1
"1448","NY31","Species 3",2
"1450","SN79","Species 3",1
"1451","SY69","Species 3",2
"1452","SP74","Species 3",1
"1454","NC45","Species 3",1
"1455","SN62","Species 3",2
"1456","SJ11","Species 3",1
"1457","SU30","Species 3",1
"1458","SS94","Species 3",1
"1459","SS74","Species 3",1
"1460","SK51","Species 10",1
"1464","SS74","Species 3",1
"1465","SJ91","Species 3",2
"1466","SU30","Species 3",1
"1467","SU88","Species 10",1
"1472","NX46","Species 3",1
"1473","TQ45","Species 3",1
"1474","SP37","Species 3",1
"1475","SO37","Species 3",1
"1476","SS58","Species 3",1
"1479","ST74","Species 3",1
"1480","ST71","Species 3",2
"1484","SN69","Species 3",1
"1486","SN53","Species 3",1
"1487","SN72","Species 3",1
"1488","SU21","Species 3",1
"1492","SU56","Species 13",2
"1493","SU82","Species 13",1
"1495","SH76","Species 13",1
"1500","NZ15","Species 13",1
"1501","ST69","Species 13",2
"1502","SO90","Species 13",1
"1504","SP15","Species 13",1
"1505","ST46","Species 13",1
"1507","TQ49","Species 10",1
"1508","SU56","Species 13",1
"1510","SS64","Species 13",2
"1513","TQ23","Species 13",1
"1515","SP17","Species 13",1
"1516","SU77","Species 13",1
"1517","SU77","Species 13",1
"1518","SK58","Species 13",1
"1519","SP27","Species 13",1
"1521","TF71","Species 13",2
"1525","SP37","Species 13",1
"1526","TL30","Species 13",1
"1528","TF00","Species 13",2
"1529","SE58","Species 13",2
"1530","SZ19","Species 13",1
"1531","SK80","Species 13",1
"1532","TQ77","Species 13",1
"1533","SP60","Species 10",2
"1534","SY78","Species 13",1
"1540","SO46","Species 10",2
"1541","SE20","Species 13",1
"1546","SX54","Species 13",2
"1547","SO12","Species 10",2
"1550","SN61","Species 13",1
"1551","SP37","Species 13",2
"1553","SN52","Species 13",2
"1554","TG30","Species 13",1
"1555","NY33","Species 13",2
"1557","TQ60","Species 13",1
"1558","NY12","Species 13",2
"1559","SP37","Species 13",1
"1560","SY39","Species 13",2
"1563","TL22","Species 13",1
"1567","SE98","Species 13",1
"1568","TQ16","Species 13",1
"1569","SK66","Species 13",2
"1570","SX99","Species 13",2
"1571","TL22","Species 13",1
"1574","SO53","Species 13",1
"1579","SS22","Species 13",2
"1582","SK49","Species 13",1
"1583","NM56","Species 13",1
"1584","NZ15","Species 13",1
"1585","TG31","Species 13",1
"1586","TQ13","Species 13",1
"1588","ST71","Species 10",2
"1589","SK91","Species 13",1
"1592","TF07","Species 13",1
"1593","TQ14","Species 13",1
"1594","SK90","Species 13",2
"1596","TG42","Species 13",2
"1597","SO65","Species 13",1
"1599","SN41","Species 13",1
"1600","SO86","Species 13",1
"1602","SU93","Species 13",1
"1604","SE72","Species 13",1
"1605","SP80","Species 13",1
"1608","TM35","Species 13",2
"1615","SK58","Species 13",1
"1616","TQ49","Species 13",1
"1618","SO31","Species 13",2
"1620","SU42","Species 13",2
"1622","SU56","Species 13",1
"1624","TL28","Species 13",2
"1625","SU78","Species 13",2
"1627","SN40","Species 13",1
"1629","TM45","Species 13",1
"1630","SZ08","Species 13",1
"1632","SU59","Species 13",1
"1637","SP37","Species 13",1
"1640","SN53","Species 13",1
"1644","SJ50","Species 13",1
"1645","TL09","Species 13",1
"1646","SO85","Species 13",2
"1650","TL60","Species 13",1
"1653","SO48","Species 13",1
"1654","SU77","Species 13",1
"1655","SY89","Species 13",1
"1657","SP40","Species 13",1
"1659","SN69","Species 13",1
"1664","SU87","Species 13",2
"1665","SU71","Species 13",2
"1667","TG42","Species 13",1
"1670","TG12","Species 13",1
"1675","TQ45","Species 13",2
"1676","ST59","Species 13",1
"1681","SJ34","Species 13",2
"1683","TQ44","Species 13",2
"1684","SX06","Species 13",1
"1687","TM47","Species 13",2
"1688","SU34","Species 13",1
"1691","SP37","Species 13",1
"1692","SU94","Species 13",1
"1695","SP37","Species 13",1
"1696","SO77","Species 10",1
"1701","SN40","Species 13",2
"1702","SP37","Species 13",1
"1703","SK51","Species 13",1
"1706","SO90","Species 13",2
"1708","ST71","Species 13",2
"1709","TQ73","Species 13",1
"1711","TL57","Species 10",2
"1712","SN51","Species 13",1
"1714","NZ16","Species 13",1
"1715","TQ83","Species 13",2
"1718","SU00","Species 13",2
"1720","TG12","Species 13",1
"1722","TQ15","Species 13",1
"1723","SO00","Species 13",2
"1725","TL28","Species 13",1
"1726","SM93","Species 13",1
"1731","SE73","Species 10",1
"1733","SN40","Species 13",1
"1734","SP03","Species 13",1
"1735","SU67","Species 13",2
"1736","TQ53","Species 13",2
"1737","NY76","Species 13",1
"1738","TQ75","Species 13",2
"1739","SU86","Species 13",2
"1740","TL86","Species 13",2
"1743","SY98","Species 13",1
"1744","SJ34","Species 10",2
"1745","SU49","Species 13",2
"1748","TL27","Species 13",1
"1749","SS79","Species 13",1
"1751","SY09","Species 13",1
"1753","SS58","Species 13",1
"1754","SS21","Species 13",2
"1758","SU22","Species 13",1
"1761","SP50","Species 13",1
"1762","NZ15","Species 13",1
"1763","TM07","Species 13",1
"1764","SN69","Species 13",1
"1765","TQ35","Species 13",2
"1766","TG31","Species 13",1
"1770","SN68","Species 13",2
"1772","SE71","Species 13",1
"1773","SU20","Species 13",2
"1775","TM15","Species 10",1
"1776","NZ15","Species 13",1
"1778","TQ01","Species 13",1
"1779","SU66","Species 13",1
"1780","SZ39","Species 13",2
"1781","SH85","Species 13",1
"1783","SU67","Species 13",1
"1785","SU42","Species 13",2
"1786","TM15","Species 13",2
"1788","NZ03","Species 13",1
"1789","SU62","Species 13",2
"1795","SO41","Species 13",1
"1797","SP37","Species 10",1
"1800","SK58","Species 13",1
"1801","SU49","Species 13",1
"1805","ST58","Species 10",2
"1807","TL99","Species 13",2
"1808","NX45","Species 13",1
"1812","SU79","Species 10",1
"1813","TL09","Species 13",2
"1814","TQ94","Species 13",1
"1817","TL99","Species 13",2
"1819","SO94","Species 10",2
"1822","SU68","Species 13",2
"1824","TQ65","Species 13",2
"1826","SU76","Species 10",2
"1830","SN97","Species 13",2
"1831","SU91","Species 13",1
"1832","SK97","Species 13",2
"1833","NZ03","Species 13",1
"1835","SN79","Species 13",1
"1836","SH85","Species 13",1
"1837","SO77","Species 13",1
"1839","TL92","Species 13",1
"1844","SP47","Species 13",1
"1845","SJ80","Species 13",1
"1846","SP07","Species 13",1
"1847","TM13","Species 13",2
"1848","TR36","Species 13",2
"1849","SK80","Species 13",1
"1851","TQ49","Species 13",1
"1855","SH54","Species 13",1
"1859","SD47","Species 13",2
"1860","NZ80","Species 13",1
"1863","NZ15","Species 13",1
"1866","SY09","Species 13",1
"1868","SH76","Species 13",2
"1869","TL17","Species 13",1
"1871","SU95","Species 13",1
"1874","TQ93","Species 13",1
"1875","TQ45","Species 13",1
"1877","SU20","Species 10",2
"1878","TL99","Species 13",2
"1879","SP61","Species 13",2
"1881","SU58","Species 13",2
"1882","TL28","Species 13",1
"1883","TL18","Species 13",1
"1889","SE35","Species 13",1
"1891","TM07","Species 13",1
"1892","TM04","Species 13",1
"1895","SU75","Species 13",2
"1899","TM34","Species 13",2
"1902","SU30","Species 13",2
"1906","SU53","Species 13",2
"1907","ST40","Species 13",1
"1909","SP37","Species 13",1
"1910","SE27","Species 13",2
"1912","TQ65","Species 13",1
"1914","NY95","Species 13",1
"1917","SU97","Species 10",1
"1918","SN63","Species 13",2
"1919","SE74","Species 13",1
"1920","SN57","Species 13",1
"1924","ST12","Species 13",1
"1925","SH85","Species 13",1
"1926","SE62","Species 13",1
"1927","ST99","Species 13",1
"1928","SN57","Species 13",1
"1929","SN32","Species 13",2
"1930","SN68","Species 13",1
"1931","TG30","Species 13",1
"1932","SU79","Species 13",1
"1933","SN34","Species 13",1
"1934","SZ19","Species 13",2
"1936","SP16","Species 13",1
"1938","SK42","Species 13",1
"1940","SK50","Species 13",1
"1942","SP27","Species 13",1
"1943","SK51","Species 13",2
"1944","TQ15","Species 13",1
"1945","SW87","Species 13",1
"1947","SK80","Species 13",1
"1949","SU42","Species 13",2
"1950","SY49","Species 13",2
"1953","ST47","Species 13",1
